primaryTitle,startYear,runtimeMinutes,genres,region,language,averageRating,numVotes
The Scoundrel,1935,76,"Drama,Fantasy",IN,en,6.1,480
Shanghai,1935,75,"Drama,Romance",IN,en,6.1,162
Special Agent,1935,76,"Drama,Mystery,Romance",IN,en,6.4,1335
Sunset Range,1935,60,"Drama,Western",IN,en,6.4,101
Achhut Kanya,1936,142,"Drama,Musical,Romance",IN,\N,6.4,187
Anthony Adverse,1936,141,"Adventure,Drama,Romance",IN,en,6.3,2150
Black Legion,1937,83,"Crime,Drama,Film-Noir",IN,en,7.0,4163
Bullets or Ballots,1936,82,"Crime,Drama,Film-Noir",IN,en,7.0,3708
Cain and Mabel,1936,90,"Comedy,Musical,Mystery",IN,hi,6.3,2182
The Cattle Thief,1936,58,"Drama,Western",IN,en,6.2,87
Chatterbox,1936,68,"Comedy,Drama,Romance",IN,en,6.0,374
Darkest Africa,1936,73,"Adventure,Romance",IN,en,6.2,153
Desire,1936,95,"Comedy,Crime,Romance",IN,en,7.1,3282
The Devil on Horseback,1936,70,"Comedy,Musical,Romance",IN,en,5.0,58
Dracula's Daughter,1936,71,"Drama,Fantasy,Horror",IN,en,6.3,8934
Great Guy,1936,66,"Crime,Drama,Film-Noir",IN,en,6.3,1209
Man of Affairs,1936,73,"Adventure,Comedy,Romance",IN,en,6.0,71
Janmabhoomi,1936,139,Drama,IN,\N,6.6,14
Jeevan Naya,1936,140,Drama,IN,hi,6.6,14
Love on the Run,1936,80,"Comedy,Fantasy,Romance",IN,en,6.0,1445
Modern Times,1936,87,"Comedy,Drama,Romance",IN,hi,8.5,278168
One in a Million,1936,95,"Comedy,Family,Music",IN,en,6.0,354
The Petrified Forest,1936,82,"Drama,Thriller",IN,en,7.5,15748
The Plainsman,1936,113,"Drama,Western",IN,en,6.8,2578
The Prisoner of Shark Island,1936,96,"Biography,Drama,History",IN,en,7.2,2784
Ramona,1936,84,"Drama,Romance,Western",IN,en,6.0,390
Sabotage,1936,76,"Crime,Thriller",IN,hi,7.0,20201
Sant Tukaram,1936,131,"Biography,Drama",IN,en,6.5,311
Secret Agent,1936,86,"Crime,Drama,Mystery",IN,en,6.4,9537
"Sing, Baby, Sing",1936,90,"Comedy,Music,Romance",IN,en,5.7,162
The Story of Louis Pasteur,1936,86,"Biography,Drama,History",IN,hi,7.3,3446
Stowaway,1936,87,"Adventure,Family,Musical",IN,en,7.1,1570
Strike Me Pink,1936,100,"Comedy,Drama,Musical",IN,en,6.4,522
Swing Time,1936,103,"Comedy,Musical,Romance",IN,en,7.4,15346
Reefer Madness,1938,66,"Crime,Drama",IN,en,3.7,9776
Theodora Goes Wild,1936,94,"Comedy,Mystery,Romance",IN,en,7.1,3197
Things to Come,1936,100,"Drama,Sci-Fi,War",IN,en,6.6,9886
Three Smart Girls,1936,84,"Comedy,Musical,Romance",IN,en,6.6,1658
The Walking Dead,1936,66,"Crime,Drama,Horror",IN,en,6.6,3508
Angel,1937,91,"Comedy,Drama,Romance",IN,en,7.2,3625
Bidyapati,1937,141,Drama,IN,\N,6.6,37
Born to the West,1937,49,"Drama,Western",IN,en,5.6,1112
Broadway Melody of 1938,1937,110,"Musical,Romance",IN,en,6.7,1479
Camille,1936,109,"Drama,Romance",IN,en,7.3,9342
Captains Courageous,1937,117,"Adventure,Drama,Family",IN,hi,7.9,11647
Dangerously Yours,1937,62,"Crime,Drama",IN,en,6.4,185
Daughter of Shanghai,1937,62,"Crime,Drama,Romance",IN,en,6.6,663
David Livingstone,1936,71,\N,IN,en,6.6,11
Didi,1937,140,"Drama,Romance",IN,en,6.6,11
Kunku,1937,162,Drama,IN,en,7.0,89
Fire Over England,1937,92,"Adventure,History,Romance",IN,en,6.5,2109
God's Country and the Woman,1937,85,"Action,Drama,Romance",IN,en,5.7,264
The Grand Illusion,1937,113,"Drama,War",IN,en,8.1,40587
The Hurricane,1937,104,"Action,Adventure,Drama",IN,en,7.1,3299
Izzat,1937,108,\N,IN,\N,5.8,22
Keep Fit,1937,82,"Comedy,Musical",IN,en,5.8,211
Kid Galahad,1937,102,"Crime,Drama,Film-Noir",IN,en,7.2,4204
Life Begins in College,1937,94,"Comedy,Music,Romance",IN,en,5.1,144
Lost Horizon,1937,132,"Adventure,Drama,Fantasy",IN,en,7.6,15421
Make Way for Tomorrow,1937,91,"Drama,Romance",IN,en,8.1,10397
Marked Woman,1937,96,"Crime,Drama,Film-Noir",IN,en,7.1,5369
My Favorite Wife,1940,88,"Comedy,Romance",IN,en,7.2,12379
You're in the Army Now,1937,87,"Action,Comedy,Drama",IN,en,5.6,190
Prem Kahani,1937,87,"Drama,Family,Romance",IN,\N,6.6,19
The Rat,1937,72,"Crime,Drama",IN,en,6.4,107
Riders of the Rockies,1937,56,"Drama,Western",IN,en,4.8,90
San Quentin,1937,70,"Crime,Drama,Film-Noir",IN,en,6.5,2399
Snow White and the Seven Dwarfs,1937,83,"Adventure,Animation,Family",IN,en,7.6,234736
Something to Sing About,1937,93,"Comedy,Musical",IN,en,6.2,1095
Souls at Sea,1937,92,"Action,Adventure,History",IN,en,6.8,956
Stage Door,1937,92,"Comedy,Drama,Romance",IN,en,7.7,9666
A Star Is Born,1937,111,"Drama,Romance",IN,en,7.3,11657
Un Carnet de bal,1937,144,Drama,IN,en,7.4,1071
Varsity Show,1937,120,"Musical,Romance",IN,en,6.1,522
Who's Your Lady Friend?,1937,73,Comedy,IN,en,4.5,38
You Only Live Once,1937,86,"Crime,Drama,Film-Noir",IN,en,7.2,8116
Young and Innocent,1937,83,"Crime,Drama,Mystery",IN,en,6.8,11795
The Adventures of Marco Polo,1938,104,"Adventure,Biography,Drama",IN,en,5.6,1287
The Adventures of Robin Hood,1938,102,"Action,Adventure,Romance",IN,en,7.9,56995
Alexander's Ragtime Band,1938,106,"Drama,Music,Musical",IN,en,6.8,2455
The Amazing Dr. Clitterhouse,1938,87,"Crime,Drama",IN,hi,7.0,3197
Angels with Dirty Faces,1938,97,"Crime,Drama,Film-Noir",IN,hi,7.9,24454
Bhabi,1938,\N,"Drama,Family",IN,\N,7.1,11
Booloo,1938,61,"Action,Adventure,Thriller",IN,en,4.6,49
Bringing Up Baby,1938,102,Comedy,IN,en,7.8,69379
The Citadel,1938,110,Drama,IN,en,7.0,2542
The Drum,1938,104,"Adventure,War",IN,en,6.3,1008
The Dybbuk,1937,108,"Drama,Fantasy,Musical",IN,en,6.6,801
The Baker's Wife,1938,133,"Comedy,Drama",IN,en,7.5,2627
Hawaii Calls,1938,91,"Drama,Musical",IN,en,5.7,95
Her Jungle Love,1938,81,"Action,Adventure,Music",IN,en,6.3,147
I Am the Law,1938,83,"Crime,Drama",IN,en,6.6,560
Jezebel,1938,104,"Drama,Romance",IN,en,7.4,16060
Just Around the Corner,1938,70,"Comedy,Drama,Family",IN,en,6.4,736
Kentucky,1938,96,"Drama,Romance,Sport",IN,en,6.2,740
Lightning Carson Rides Again,1938,58,"Drama,Western",IN,en,6.3,99
The Lone Ranger,1938,264,"Action,Drama,Family",IN,en,6.6,314
Marie Antoinette,1938,149,"Biography,Drama,History",IN,en,7.3,3508
Nirmala,1938,128,Drama,IN,\N,6.1,21
Penitentiary,1938,74,Drama,IN,en,6.5,27
Prison Break,1938,72,"Crime,Drama,Thriller",IN,en,6.1,348
Prison Without Bars,1938,72,Drama,IN,en,6.1,85
Pygmalion,1938,89,"Comedy,Drama,Romance",IN,en,7.7,10295
Rebecca of Sunnybrook Farm,1938,81,"Comedy,Drama,Family",IN,en,7.0,2046
"Rich Man, Poor Girl",1938,72,"Comedy,Drama,Romance",IN,en,6.2,414
"Sally, Irene and Mary",1938,86,"Comedy,Music,Romance",IN,en,6.2,139
Santa Fe Stampede,1938,55,"Drama,Western",IN,hi,6.0,513
Service de Luxe,1938,85,"Comedy,Romance",IN,en,6.1,260
A Slight Case of Murder,1938,85,"Comedy,Crime",IN,en,7.0,2722
Street Singer,1938,135,Drama,IN,\N,6.1,25
Test Pilot,1938,119,"Drama,Romance",IN,en,6.8,2922
That Certain Age,1938,95,"Comedy,Musical",IN,en,6.6,439
Jack of All Trades,1936,76,Comedy,IN,en,5.9,89
Unashamed: A Romance,1938,66,"Drama,Romance",IN,en,5.6,201
