primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,language
Marquis de Sade's Justine,1969,90,Drama,5.1,2262,hi
Diwana,1967,171,"Drama,Romance",6.4,147,hi
Duniya,1968,\N,"Crime,Drama,Mystery",7.1,97,hi
Enter the Game of Death,1978,90,"Action,Drama",5.4,650,hi
Fleshpot on 42nd Street,1972,87,Drama,5.4,674,hi
Funny Girl,1968,151,"Biography,Comedy,Drama",7.4,26828,hi
"2 - I, a Woman, Part II",1968,88,Drama,4.1,164,hi
Love Camp 7,1969,96,"Drama,Horror,Thriller",3.9,1305,hi
Love Toy,1971,76,Thriller,4.2,434,hi
Night of the Living Dead,1968,96,"Horror,Thriller",7.8,148482,hi
Padosan,1968,157,"Comedy,Musical,Romance",8.1,8994,hi
Paranoia,1969,91,"Drama,Romance,Thriller",6.0,1991,hi
Planet of the Apes,1968,112,"Adventure,Sci-Fi",8.0,207845,hi
"Rachel, Rachel",1968,101,"Drama,Romance",7.1,4407,hi
